"Unique ID";"Name";"Nation";"Division";"Status";"Stad Cap";"Division ID"
"960";"VfB Stuttgart";"Allemagne";"Bundesliga";"Professional";"60058";"22"
"981";"Olympiacos";"Grèce";"Super League 1";"Professional";"33449";"129650"
"1013";"Feyenoord";"Pays-Bas";"Eredivisie";"Professional";"51177";"29"
"2000134695";"Houston Dash";"États-Unis";"NWSL";"Professional";"22039";"2000132563"
"2000148286";"Eintracht Frankfurt";"Allemagne";"GP Frauen-Bundesliga";"Professional";"5750";"2000148115"
"2000260284";"Utah Royals";"États-Unis";"NWSL";"Professional";"20252";"2000132563"
"1255";"Chivas";"Mexique";"1ère Division";"Professional";"49850";"135973"
"1724";"Vigo";"Espagne";"Première Division";"Professional";"24870";"67"
"58029064";"Krasnodar";"Russie";"Première Ligue";"Professional";"35179";"130486"
"2000167901";"A. Bilbao";"Espagne";"Première Division";"Professional";"3200";"2000167898"
"186";"Club Brugge";"Belgique";"Jupiler Pro League";"Professional";"29062";"1"
"884";"Rennes";"France";"Ligue 1 McDonald's";"Professional";"29194";"16"
"1111";"Bologna";"Italie";"Serie A";"Professional";"31007";"32"
"1685";"Atlético Pamplona";"Espagne";"Première Division";"Professional";"23576";"67"
"2000104563";"Aston Villa";"Angleterre";"WSL";"Professional";"42883";"2000101095"
"603";"Aston Villa";"Angleterre";"Premier League";"Professional";"42883";"11"
"862";"OGC Nice";"France";"Ligue 1 McDonald's";"Professional";"27000";"16"
"920";"FC Schalke 04";"Allemagne";"Bundesliga 2";"Professional";"62271";"23"
"1254";"Cruz Azul";"Mexique";"1ère Division";"Professional";"50754";"135973"
"814089";"Girona";"Espagne";"Première Division";"Professional";"14642";"67"
"2000149100";"Montpellier";"France";"Division 1";"Professional";"1500";"2000149107"
"2000158692";"FC Fleury 91";"France";"Division 1";"Professional";"20770";"2000149107"
"314";"ATM";"Brésil";"1ère Division";"Professional";"44892";"102423"
"961";"VfL Wolfsburg";"Allemagne";"Bundesliga";"Professional";"28917";"22"
"102852";"Al Hilal";"Arabie saoudite";"1ère division saoudienne";"Professional";"26090";"7920263"
"2000104582";"Spurs";"Angleterre";"WSL";"Professional";"9311";"2000101095"
"2000210128";"Corinthians";"Brésil";"Première division";"Professional";"18500";"2000314935"
"2000254878";"Tigres";"Mexique";"Première Division";"Professional";"42000";"2000199505"
"158";"FC RB Salzburg";"Autriche";"Première Ligue";"Professional";"29527";"136543"
"871";"RC Lens";"France";"Ligue 1 McDonald's";"Professional";"38223";"16"
"908";"Borussia M'gladbach";"Allemagne";"Bundesliga";"Professional";"54042";"22"
"947";"Hamburger SV";"Allemagne";"Bundesliga";"Professional";"57000";"22"
"1260";"Pumas";"Mexique";"1ère Division";"Professional";"68954";"135973"
"1518";"CSKA Moscow";"Russie";"Première Ligue";"Professional";"30114";"130486"
"2000104568";"Everton";"Angleterre";"WSL";"Professional";"39572";"2000101095"
"2000148288";"TSG Hoffenheim";"Allemagne";"GP Frauen-Bundesliga";"Professional";"6100";"2000148115"
"2000168320";"BK Häcken FF";"Suède";"OBOS Damallsvenskan";"Professional";"6300";"2000138349"
"2000170168";"Hammarby IF";"Suède";"OBOS Damallsvenskan";"Professional";"3100";"2000138349"
"2000209827";"Blu-neri";"Italie";"Serie A Women Athora";"Professional";"10000";"2000168606"
"2000453601";"Boston Legacy";"États-Unis";"Lower Leagues";"Professional";"68756";"2000500910"
"2000453602";"Denver Summit";"États-Unis";"Lower Leagues";"Professional";"12000";"2000500910"
"337";"SPO";"Brésil";"1ère Division";"Professional";"77000";"102423"
"916";"1. FC Köln";"Allemagne";"Bundesliga";"Professional";"50000";"22"
"982";"PAOK";"Grèce";"Super League 1";"Professional";"28703";"129650"
"983";"Panathinaikos";"Grèce";"Super League 1";"Professional";"39700";"129650"
"1710";"Getafe";"Espagne";"Première Division";"Professional";"16500";"67"
"1879";"Trabzonspor";"Turquie";"Super League";"Professional";"40782";"130286"
"104360";"Tigres";"Mexique";"1ère Division";"Professional";"42000";"135973"
"2000210131";"Benfica";"Portugal";"Championnat National";"Professional";"2720";"2000209806"
"2000254864";"Club América";"Mexique";"Première Division";"Professional";"87500";"2000199505"
"948";"SV Werder Bremen";"Allemagne";"Bundesliga";"Professional";"45100";"22"
"967";"AEK";"Grèce";"Super League 1";"Professional";"31527";"129650"
"991";"AZ";"Pays-Bas";"Eredivisie";"Professional";"19500";"29"
"1257";"Monterrey";"Mexique";"1ère Division";"Professional";"52000";"135973"
"1569";"Celtic";"Écosse";"William Hill Premiership";"Professional";"60363";"45"
"72052048";"Inter Miami";"États-Unis";"MLS";"Professional";"21550";"40"
"2000167908";"Real San Sebastián";"Espagne";"Première Division";"Professional";"2500";"2000167898"
"2000254401";"Pachuca";"Mexique";"Première Division";"Professional";"30024";"2000199505"
"315";"BAH";"Brésil";"1ère Division";"Professional";"50025";"102423"
"618";"Brighton";"Angleterre";"Premier League";"Professional";"31876";"11"
"2247";"Hertha BSC";"Allemagne";"Bundesliga 2";"Professional";"73856";"23"
"72049313";"LAFC";"États-Unis";"MLS";"Professional";"22000";"40"
"2000199511";"Rayadas";"Mexique";"Première Division";"Professional";"52000";"2000199505"
"335";"SAN";"Brésil";"1ère Division";"Professional";"16068";"102423"
"944";"Sport-Club Freiburg";"Allemagne";"Bundesliga";"Professional";"34700";"22"
"1123";"Como";"Italie";"Serie A";"Professional";"13602";"32"
